Category,Subcategory,Location,Manufacturer Name,Manufacturer Part Number,Item Description,UOM,Price,Volume,
Electrical Rd 2,Batteries,Sanford,TOMTECH,I6V-B23 6 VLT LANTERN W/BATTERY,I6V-B2 6 VLT LANTERN W/BATTERY,EA, 7.50 , 23 ,
Electrical Rd 2,Batteries,Sanford,UNDEFINED,17136 18 VOLT BATTERY CHARGER,17136 18 VOLT BATTERY CHARGER,EA, 337.42 , 4 ,
PTB,Bearings,Cowelton,AMERICAN-METRIC CORP,6MMSTEEL BALL,STEEL BALLS,EA, 0.17 , 53 ,
PTB,Bearings,Cowelton,BOSTON GEAR,FB 1620-12,SINTERED BRNZ BRGS,EA, 2.87 , 7 ,
PTB,Bearings,Cowelton,BROWNING,VF2S 112 M 2,OTHER BALL BRG.MTD.UNITS,EA, 21.83 , 75 ,
PTB,Bearings,Cowelton,BROWNING,PBE920F X 4-7/16,HI-VOL ROL.BRG.MTD.UNITS,EA," 1,022.74 ", 1 ,
PTB,Bearings,Cowelton,BROWNING,"PBE920 X 2""",HI-VOL ROL.BRG.MTD.UNITS,EA, 166.90 , 1 ,
PTB,Bearings,Cowelton,CONSOLIDATED BEARINGS CO,63801-2RS,63801-2RS BRG,EA, 23.17 , 34 ,
PTB,Bearings,Cowelton,CONSOLIDATED BEARINGS CO,SS6003-2RS,SRDG BALL BRGS,EA, 58.54 , 7 ,
PTB,Bearings,Cowelton,CONSOLIDATED BEARINGS CO,SS6005-2RS,SRDG BALL BRGS,EA, 79.99 , 1 ,
PTB-Pet,Bearings,Cowelton,DODGE-RELIANCE,F4BE407R,F4BE407R  FLG BRG  023118 HI-VOL ROL.BRG.MTD.UNITS,EA," 1,209.87 ", 1 ,
PTB-Pet,Bearings,Cowelton,DODGE-RELIANCE,F2BSC107,F2BSC107  FLG                     1242 HI-VOL BALL BRG.MTD.UNITS,EA, 47.24 , 20 ,
PTB-Pet,Bearings,Cowelton,DODGE-RELIANCE,P2BUN2107,P2BUN2107  PIL BLK                0480 OTHER ROL.BRG.MTD.UNITS,EA, 192.09 , 4 ,
PTB-Pet,Bearings,Cowelton,DODGE-RELIANCE,P2B-S2-211R   070284       OLD 044625,P2B-S2-211R   070284       OLD 044625 HI-VOL ROL.BRG.MTD.UNITS,EA, 378.90 , 2 ,
PTB-Pet,Bearings,Cowelton,DODGE-RELIANCE,F4BE400R,F4BE400R  FLG BRG  023117 HI-VOL ROL.BRG.MTD.UNITS,EA, 730.36 , 1 ,
PTB-Pet,Bearings,Cowelton,DODGE-RELIANCE,F4BUN2300  NE FLG,F4BUN2300  NE FLG                 0480 OTHER ROL.BRG.MTD.UNITS,EA, 582.34 , 1 ,
PTB-Pet,Bearings,Cowelton,DODGE-RELIANCE,F4BE315R,F4BE315R  FLG BRG  023116 HI-VOL ROL.BRG.MTD.UNITS,EA, 539.90 , 1 ,
PTB-Pet,Bearings,Cowelton,DODGE-RELIANCE,FCE203R,FCE203R  PILOTED FLG BRG          0231 HI-VOL ROL.BRG.MTD.UNITS,EA, 208.07 , 2 ,
PTB-Pet,Bearings,Cowelton,DODGE-RELIANCE,F4BSCM200,F4BSCM200   FLG                   1261 HI-VOL BALL BRG.MTD.UNITS,EA, 74.24 , 5 ,
PTB-Pet,Bearings,Cowelton,DODGE-RELIANCE,F4BSC107,F4BSC107   FLG                    1242 HI-VOL BALL BRG.MTD.UNITS,EA, 40.40 , 7 ,
PTB-Pet,Bearings,Cowelton,DODGE-RELIANCE,P2BUN2115,P2BUN2115  PIL BLK  048004 OTHER ROL.BRG.MTD.UNITS,EA, 280.07 , 1 ,
PTB-Pet,Bearings,Cowelton,DODGE-RELIANCE,F4BE204R,F4BE204R  FLG BRG                 0231 HI-VOL ROL.BRG.MTD.UNITS,EA, 274.91 , 1 ,
